"mname","pop","country","adm","admi"
"Beni, Bolivia",421196,"Bolivia","Beni","BO-B"
"Chuquisaca, Bolivia",576153,"Bolivia","Chuquisaca","BO-H"
"Cochabamba, Bolivia",1930143,"Bolivia","Cochabamba","BO-C"
"La Paz, Bolivia",2706359,"Bolivia","La Paz","BO-L"
"Oruro, Bolivia",494178,"Bolivia","Oruro","BO-O"
"Pando, Bolivia",110436,"Bolivia","Pando","BO-N"
"Potosi, Bolivia",823517,"Bolivia","Potosi","BO-P"
"Santa Cruz, Bolivia",3412921,"Bolivia","Santa Cruz","BO-S"
"Tarija, Bolivia",482196,"Bolivia","Tarija","BO-T"
"Acre, Brazil",758786,"Brazil","Acre","BR-AC"
"Alagoas, Brazil",3165472,"Brazil","Alagoas","BR-AL"
"Amapa, Brazil",750912,"Brazil","Amapa","BR-AP"
"Amazonas, Brazil",3483985,"Brazil","Amazonas","BR-AM"
"Bahia, Brazil",15203934,"Brazil","Bahia","BR-BA"
"Ceara, Brazil",8606005,"Brazil","Ceara","BR-CE"
"Espirito Santo, Brazil",3514952,"Brazil","Espirito Santo","BR-ES"
"Distrito Federal, Brazil",2570160,"Brazil","Distrito Federal","BR-DF"
"Goias, Brazil",6778772,"Brazil","Goias","BR-GO"
"Maranhao, Brazil",6714314,"Brazil","Maranhao","BR-MA"
"Mato Grosso, Brazil",3035122,"Brazil","Mato Grosso","BR-MT"
"Mato Grosso do Sul, Brazil",2505088,"Brazil","Mato Grosso do Sul","BR-MS"
"Minas Gerais, Brazil",20869101,"Brazil","Minas Gerais","BR-MG"
"Para, Brazil",8272724,"Brazil","Para","BR-PA"
"Paraiba, Brazil",3766528,"Brazil","Paraiba","BR-PB"
"Parana, Brazil",10444526,"Brazil","Parana","BR-PR"
"Pernambuco, Brazil",8931028,"Brazil","Pernambuco","BR-PE"
"Piaui, Brazil",3160748,"Brazil","Piaui","BR-PI"
"Rio Grande do Norte, Brazil",3228198,"Brazil","Rio Grande do Norte","BR-RN"
"Rio Grande Do Sul, Brazil",11322895,"Brazil","Rio Grande do Sul","BR-RS"
"Rio de Janeiro, Brazil",15989929,"Brazil","Rio de Janeiro","BR-RJ"
"Rondonia, Brazil",1562410,"Brazil","Rondonia","BR-RO"
"Roraima, Brazil",450479,"Brazil","Roraima","BR-RR"
"Santa Catarina, Brazil",6248436,"Brazil","Santa Catarina","BR-SC"
"São Paulo, Brazil",45342928,"Brazil","Sao Paulo","BR-SP"
"Sergipe, Brazil",2228489,"Brazil","Sergipe","BR-SE"
"Tocantins, Brazil",1383447,"Brazil","Tocantins","BR-TO"
"Aisen, Chile",103158,"Chile","Aisen","CL-AI"
"Antofagasta, Chile",607534,"Chile","Antofagasta","CL-AN"
"Araucania, Chile",957224,"Chile","Araucania","CL-AR"
"Arica and Parinacota, Chile",212813,"Chile","Arica and Parinacota","CL-AP"
"Atacama, Chile",286168,"Chile","Atacama","CL-AT"
"Bio Bio, Chile",2037414,"Chile","Bio Bio","CL-BI"
"Coquimbo, Chile",757586,"Chile","Coquimbo","CL-CO"
"Los Lagos, Chile",767714,"Chile","Los Lagos","CL-LL"
"Los Ríos, Chile",380131,"Chile","Los Rios","CL-LR"
"Magallanes, Chile",166533,"Chile","Magallanes","CL-MA"
"Maule, Chile",1044950,"Chile","Maule","CL-ML"
"Libertador, Chile",914555,"Chile","Libertador","CL-LI"
"Metropolitana, Chile",6604835,"Chile","Santiago Metropolitan","CL-RM"
"Tarapaca, Chile",295095,"Chile","Tarapaca","CL-TA"
"Valparaiso, Chile",1815902,"Chile","Valparaiso","CL-VS"
"Ñuble, Bio Bio, Chile",460113,"Chile","Ñuble","CL-NB"
"Amazonas, Colombia",67726,"Colombia","Amazonas","CO-AMA"
"Antioquia, Colombia",7671688,"Colombia","Antioquia","CO-ANT"
"Arauca, Colombia",232129,"Colombia","Arauca","CO-ARA"
"Atlantico, Colombia",2112128,"Colombia","Atlantico","CO-ATL"
"Distrito Capital, Colombia",8181047,"Colombia","Bogota D.C.","CO-DC"
"Bolivar, Colombia",1.87948e6,"Colombia","Bolivar","CO-BOL"
"Boyaca, Colombia",1278061,"Colombia","Boyaca","CO-BOY"
"Caldas, Colombia",968586.,"Colombia","Caldas","CO-CAL"
"Caqueta, Colombia",483834,"Colombia","Caqueta","CO-CAQ"
"Casanare, Colombia",344027,"Colombia","Casanare","CO-CAS"
"Cauca, Colombia",1268830,"Colombia","Cauca","CO-CAU"
"Cesar, Colombia",1004064,"Colombia","Cesar","CO-CES"
