"City","Population","Elevation","AdministrativeDivision","Country"
"Santa Cruz",1453549,4.2e2,"Santa Cruz, Bolivia","Bolivia"
"El Alto",903080,4.1e3,"La Paz, Bolivia","Bolivia"
"La Paz",757184,3.7e3,"La Paz, Bolivia","Bolivia"
"Cochabamba",632013,2.6e3,"Cochabamba, Bolivia","Bolivia"
"Sucre",300000,2.8e3,"Chuquisaca, Bolivia","Bolivia"
"Oruro",264700,3.8e3,"Oruro, Bolivia","Bolivia"
"Tarija",234442,1.9e3,"Tarija, Bolivia","Bolivia"
"Sacaba",155700,3.e3,"Cochabamba, Bolivia","Bolivia"
"Potosi",240966,3.9e3,"Potosi, Bolivia","Bolivia"
"Montero",109503,3.e2,"Santa Cruz, Bolivia","Bolivia"
"Trinidad",101293,1.6e2,"Beni, Bolivia","Bolivia"
"Yacuiba",97296,6.6e2,"Tarija, Bolivia","Bolivia"
"Riberalta",97982,1.2e2,"Beni, Bolivia","Bolivia"
"Guayaramerin",39010,1.6e2,"Beni, Bolivia","Bolivia"
"Villazon",37113,3.5e3,"Potosi, Bolivia","Bolivia"
"Bermejo",35411,4.3e2,"Tarija, Bolivia","Bolivia"
"Llallagua",28069,4.e3,"Potosi, Bolivia","Bolivia"
"Camiri",35712,8.3e2,"Santa Cruz, Bolivia","Bolivia"
"Cobija",55692,2.1e2,"Pando, Bolivia","Bolivia"
"San Ignacio",31196,4.e2,"Santa Cruz, Bolivia","Bolivia"
"Tupiza",22233,3.e3,"Potosi, Bolivia","Bolivia"
"Warnes",30964,3.4e2,"Santa Cruz, Bolivia","Bolivia"
"San Borja",24610,1.9e2,"Beni, Bolivia","Bolivia"
"Villamontes",39800,4.7e2,"Tarija, Bolivia","Bolivia"
"Cotoca",26305,3.9e2,"Santa Cruz, Bolivia","Bolivia"
"Yapacani",26270,2.9e2,"Santa Cruz, Bolivia","Bolivia"
"El Carmen (Andrés Ibañez)",17600,4.3e2,"Santa Cruz, Bolivia","Bolivia"
"El Torno",15543,5.1e2,"Santa Cruz, Bolivia","Bolivia"
"Huanuni",15492,4.e3,"Oruro, Bolivia","Bolivia"
"Punata",28707,2.7e3,"Cochabamba, Bolivia","Bolivia"
"Caranavi",21883,1.6e3,"La Paz, Bolivia","Bolivia"
"Ascension",14429,2.e2,"Santa Cruz, Bolivia","Bolivia"
"Mineros",18340,2.6e2,"Santa Cruz, Bolivia","Bolivia"
"Santa Ana",12581,1.4e2,"Beni, Bolivia","Bolivia"
"Patacamaya",8414,3.8e3,"La Paz, Bolivia","Bolivia"
"Puerto Suarez",12253,86.,"Santa Cruz, Bolivia","Bolivia"
"Rurrenabaque",11749,5.6e2,"Beni, Bolivia","Bolivia"
"San Ignacio",10054,1.6e2,"Beni, Bolivia","Bolivia"
"Portachuelo",11485,3.e2,"Santa Cruz, Bolivia","Bolivia"
"Puerto Quijarro",10392,1.1e2,"Santa Cruz, Bolivia","Bolivia"
"Uyuni",10460,3.7e3,"Potosi, Bolivia","Bolivia"
"La Guardia",10258,5.5e2,"Santa Cruz, Bolivia","Bolivia"
"Robore",9882,2.6e2,"Santa Cruz, Bolivia","Bolivia"
"San Jose",2791,3.1e2,"Santa Cruz, Bolivia","Bolivia"
"Pailon",9304,2.9e2,"Santa Cruz, Bolivia","Bolivia"
"Cliza",21743,2.7e3,"Cochabamba, Bolivia","Bolivia"
"Achacachi",8857,3.8e3,"La Paz, Bolivia","Bolivia"
"Valle Grande",8422,2.1e3,"Santa Cruz, Bolivia","Bolivia"
"Monteagudo",8289,1.2e3,"Chuquisaca, Bolivia","Bolivia"
"Aiquile",7863,2.3e3,"Cochabamba, Bolivia","Bolivia"
"Tarata",3323,2.8e3,"Cochabamba, Bolivia","Bolivia"
"Challapata",7684,3.7e3,"Oruro, Bolivia","Bolivia"
"Ivirgarzama",6366,"QuantityMagnitude[Missing[""NotAvailable""]]","Cochabamba, Bolivia","Bolivia"
"Magdalena",7789,1.4e2,"Beni, Bolivia","Bolivia"
"San Julian",7706,3.3e2,"Santa Cruz, Bolivia","Bolivia"
"Reyes",7376,1.9e2,"Beni, Bolivia","Bolivia"
"San Javier",6048,4.8e2,"Santa Cruz, Bolivia","Bolivia"
"Concepcion",6900,4.7e2,"Santa Cruz, Bolivia","Bolivia"
"Santa Fe",6844,2.9e2,"Santa Cruz, Bolivia","Bolivia"
"Fernandez Alonso",6765,"QuantityMagnitude[Missing[""NotAvailable""]]","Santa Cruz, Bolivia","Bolivia"
"San Ramon",6421,2.4e2,"Santa Cruz, Bolivia","Bolivia"
"San Matias",5370,1.2e2,"Santa Cruz, Bolivia","Bolivia"
"La Belgica",5501,3.5e2,"Santa Cruz, Bolivia","Bolivia"
"Cuatro Canadas",5389,"QuantityMagnitude[Missing[""NotAvailable""]]","Santa Cruz, Bolivia","Bolivia"
"Capinota",5157,2.4e3,"Cochabamba, Bolivia","Bolivia"
"Chimore",3874,2.4e2,"Cochabamba, Bolivia","Bolivia"
"Uncia",5141,3.9e3,"Potosi, Bolivia","Bolivia"
"Villa Simon Bolivar",5128,"QuantityMagnitude[Missing[""NotAvailable""]]","Santa Cruz, Bolivia","Bolivia"
"Okinawa",4944,2.6e2,"Santa Cruz, Bolivia","Bolivia"
"San Miguel",4484,4.6e2,"Santa Cruz, Bolivia","Bolivia"
"Betanzos",4847,3.3e3,"Potosi, Bolivia","Bolivia"
"Shinahota",4291,"QuantityMagnitude[Missing[""NotAvailable""]]","Cochabamba, Bolivia","Bolivia"
"Camargo",5685,2.5e3,"Chuquisaca, Bolivia","Bolivia"
"Caracollo",4412,3.8e3,"Oruro, Bolivia","Bolivia"
"Santa Rosa",4574,3.9e2,"Santa Cruz, Bolivia","Bolivia"
"Copacabana",6000,3.9e3,"La Paz, Bolivia","Bolivia"
"Santa Rosa",4459,1.7e2,"Beni, Bolivia","Bolivia"
"Comarapa",5793,2.e3,"Santa Cruz, Bolivia","Bolivia"
"San Ramon",5385,1.4e2,"Beni, Bolivia","Bolivia"
"Mairana",3884,1.3e3,"Santa Cruz, Bolivia","Bolivia"
"Buena Vista",4282,3.6e2,"Santa Cruz, Bolivia","Bolivia"
"Entre Rios",4220,"QuantityMagnitude[Missing[""NotAvailable""]]","Cochabamba, Bolivia","Bolivia"
"Arroyo Concepcion",4188,"QuantityMagnitude[Missing[""NotAvailable""]]","Santa Cruz, Bolivia","Bolivia"
"San Carlos",4180,3.2e2,"Santa Cruz, Bolivia","Bolivia"
"Agustin Saavedra",4149,2.8e2,"Santa Cruz, Bolivia","Bolivia"
"Jorochito",4013,5.9e2,"Santa Cruz, Bolivia","Bolivia"
"Colquiri",4004,4.4e3,"La Paz, Bolivia","Bolivia"
"Colomi",3699,3.3e3,"Cochabamba, Bolivia","Bolivia"
"Guanay",3915,7.2e2,"La Paz, Bolivia","Bolivia"
"Arani",3512,2.8e3,"Cochabamba, Bolivia","Bolivia"
"Sipe Sipe",41571,2.6e3,"Cochabamba, Bolivia","Bolivia"
"San Juan",3707,3.4e2,"Santa Cruz, Bolivia","Bolivia"
"Limoncito",3064,6.3e2,"Santa Cruz, Bolivia","Bolivia"
"San Joaquin",4589,2.3e2,"Beni, Bolivia","Bolivia"
"Urubicha",3267,2.9e2,"Santa Cruz, Bolivia","Bolivia"
"Samaipata",3248,1.5e3,"Santa Cruz, Bolivia","Bolivia"
"Lahuachaca",3595,3.9e3,"La Paz, Bolivia","Bolivia"
"Santiago de Huari",3181,3.7e3,"Oruro, Bolivia","Bolivia"
"Boyuibe",3075,8.e2,"Santa Cruz, Bolivia","Bolivia"
"Los Negros",3046,4.2e2,"Santa Cruz, Bolivia","Bolivia"
"Charagua",3025,8.5e2,"Santa Cruz, Bolivia","Bolivia"
"Villa Serano",3016,2.2e3,"Chuquisaca, Bolivia","Bolivia"
